1162k  1.70.33.64:8083
1061k  1.70.33.64:8084
1060k  1.70.33.64:8085
1043k  1.70.33.64:8082
919k  223.11.157.81:7777
902k  110.179.80.66:8083
812k  110.178.52.91:8083
806k  110.178.52.91:8082
798k  1.70.35.220:8085
797k  110.178.52.91:8084
775k  1.70.34.19:8085
769k  110.178.52.111:8085
761k  1.70.34.19:8084
754k  110.178.52.111:8084
722k  1.70.35.220:8083
720k  1.70.34.19:8082
693k  1.70.35.220:8084
673k  110.178.52.91:8085
651k  110.178.52.111:8082
632k  110.178.52.111:8083
620k  1.70.34.19:8083
531k  1.70.35.220:8082
333k  110.179.80.66:8084
